PP,Ad(PD),Ad(Ac),Bi
1.7265850000000005,1.7270650000000003,1.8710200000000001,1.9224850000000004
1.818845,1.769645,1.83842,1.91384
1.5598250000000002,1.5480549999999997,1.713745,1.6889350000000003
1.4380600000000001,1.3885450000000001,1.422005,1.39246
1.6837199999999999,1.55434,1.593305,1.7613850000000002
1.663485,1.7058399999999998,1.7323650000000002,1.8678350000000001
