time,p_iq,p_am,p_wm,p_thm,r_iq,r_am,r_wm,r_thm
2.1059313,-1.0,0.0074436828,0.028941518,-0.053469907,-1.0,-1076.4327,0.8994905,-5.180235
2.1410308,-1.0,131.40878,0.08164176,-0.053438492,-1.0,-25.700493,0.9133248,-5.140274
2.1760573,-1.0,10.91633,-0.013609995,-0.053375658,-1.0,3673.0151,1.5622863,-5.1035485
2.2110932,1.0,-80.020546,0.003934015,-0.053375658,1.0,5334.3994,4.5396786,-5.074489
2.2461405,-1.0,131.73218,0.08164656,-0.053375658,-1.0,-70.243126,1.4495026,-5.0382977
2.28116,-1.0,-5.405019,0.00010432523,-0.053438492,-1.0,-1716.9457,0.79957795,-5.0040545
2.31642,-1.0,153.76366,0.13699967,-0.053438492,-1.0,221.44917,1.320183,-4.9655385
2.351452,-1.0,-76.79593,0.01725736,-0.053469907,-1.0,250.43503,1.082312,-4.9301014
2.3865068,1.0,90.653625,-0.006314019,-0.053438492,1.0,361.8628,1.0907116,-4.8946958
2.422388,-1.0,-68.268196,-0.08409235,-0.053564154,-1.0,308.4994,0.6406998,-4.8643165
2.4574213,1.0,-178.48611,-0.08126984,-0.053658403,1.0,2400.5952,3.9824982,-4.8310785
2.4924746,-1.0,-91.68008,-0.1432421,-0.05359557,-1.0,1150.1089,0.24365686,-4.8059454
2.5281987,-1.0,100.302025,-0.042742945,-0.053626988,-1.0,-83.36921,0.12478925,-4.779399
2.5632432,1.0,-42.64974,0.035194315,-0.053501323,1.0,-427.60837,0.20986132,-4.760455
2.5982692,1.0,-93.410576,0.01758298,-0.053407077,1.0,5972.467,3.7848554,-4.750905
2.6339984,-1.0,79.38042,-0.032863587,-0.053564154,-1.0,390.87024,0.27284387,-4.74126
2.669039,1.0,16.565474,-0.10155546,-0.053469907,1.0,-175.9366,0.13324702,-4.7304845
2.7040904,1.0,-145.27573,-0.08045108,-0.053626988,1.0,-1947.7203,2.548401,-4.7259293
2.7391489,1.0,128.21628,-0.011268354,-0.053626988,1.0,1705.7886,1.192181,-4.7254267
2.7749963,-1.0,186.80261,0.08112785,-0.053501323,-1.0,1518.8741,0.89576066,-4.7240443
2.8100243,1.0,-31.48833,-0.03139962,-0.053438492,1.0,185.85071,0.23700404,-4.7252383
2.8450646,-1.0,-209.61807,-0.08039013,-0.053626988,-1.0,101.007904,-0.16129279,-4.728317
2.8800898,1.0,-85.03087,-0.11657774,-0.053501323,1.0,1112.1869,-0.51562047,-4.731113
2.9151068,-1.0,-8.935417,0.00018337824,-0.053469907,-1.0,-2268.272,-0.8847425,-4.7277513
2.9501235,-1.0,-26.90202,-0.1152734,-0.05353274,-1.0,44.216854,-0.6591926,-4.7291965
2.9852068,-1.0,-87.30194,-0.09912,-0.053626988,-1.0,194.23746,-0.50283027,-4.7362337
3.020224,1.0,110.84297,0.04910531,-0.05353274,1.0,-125.70823,-0.40627965,-4.748046
3.055241,-1.0,100.90762,0.098548874,-0.05368982,-1.0,-112.581,0.11005727,-4.7576594
3.0905216,1.0,112.44423,0.082138866,-0.053626988,1.0,591.0585,0.7544369,-4.7577534
