condition,RMSE,T2T,Dif_INVC,Dif_NATRL,Dif_IFQUAL,Dif_PER,Dif_COP,Dif_INT,Group,Dif_INVC*Dif_NATRL,Dif_INVC*Dif_IFQUAL,Dif_INVC*Dif_PER,Dif_INVC*Dif_COP,Dif_INVC*Dif_INT,Dif_NATRL*Dif_IFQUAL,Dif_NATRL*Dif_PER,Dif_NATRL*Dif_COP,Dif_NATRL*Dif_INT,Dif_IFQUAL*Dif_PER,Dif_IFQUAL*Dif_COP,Dif_IFQUAL*Dif_INT,Dif_PER*Dif_COP,Dif_PER*Dif_INT,Dif_COP*Dif_INT
AD,0.04120784445542785,1.3346550000000001,4.0,3.5,3.5,4.333333333333333,4.0,5.0,Group 10,14.0,14.0,17.333333333333332,16.0,20.0,12.25,15.166666666666666,14.0,17.5,15.166666666666666,14.0,17.5,17.333333333333332,21.666666666666664,20.0
4C,0.03130124740177596,1.077515,0.5,1.0,1.5,0.666666666666667,1.0,1.0,Group 1,0.5,0.75,0.3333333333333335,0.5,0.5,1.5,0.666666666666667,1.0,1.0,1.0000000000000004,1.5,1.5,0.666666666666667,0.666666666666667,1.0
4C,0.031883773334419926,1.08616,1.0,1.0,0.0,1.666666666666667,1.0,1.0,Group 2,1.0,0.0,1.666666666666667,1.0,1.0,0.0,1.666666666666667,1.0,1.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667,1.0
4C,0.0379682472339834,1.3110650000000001,2.0,2.0,0.0,0.666666666666667,1.0,2.5,Group 3,4.0,0.0,1.333333333333334,2.0,5.0,0.0,1.333333333333334,2.0,5.0,0.0,0.0,0.0,0.666666666666667,1.6666666666666674,2.5
4C,0.038597997509275214,1.2898749999999999,2.5,1.0,2.0,1.0,1.0,2.0,Group 4,2.5,5.0,2.5,2.5,5.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0
4C,0.043454195517364055,1.6075400000000002,0.5,1.5,0.5,2.6666666666666665,0.0,0.5,Group 5,0.75,0.25,1.3333333333333333,0.0,0.25,0.75,4.0,0.0,0.75,1.3333333333333333,0.0,0.25,0.0,1.3333333333333333,0.0
4C,0.03695405725271691,1.161485,3.0,3.0,1.5,1.333333333333334,2.0,0.0,Group 6,9.0,4.5,4.000000000000002,6.0,0.0,4.5,4.000000000000002,6.0,0.0,2.000000000000001,3.0,0.0,2.666666666666668,0.0,0.0
4C,0.03605021686770682,1.238615,0.0,1.0,0.5,0.33333333333333304,0.0,0.0,Group 7,0.0,0.0,0.0,0.0,0.0,0.5,0.33333333333333304,0.0,0.0,0.16666666666666652,0.0,0.0,0.0,0.0,0.0
4C,0.033798422593243706,1.1321649999999999,2.0,2.5,1.0,1.0,1.0,1.0,Group 8,5.0,2.0,2.0,2.0,2.0,2.5,2.5,2.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0
4C,0.03775627770401432,1.27134,0.5,0.5,2.5,0.666666666666667,1.0,0.5,Group 9,0.25,1.25,0.3333333333333335,0.5,0.25,1.25,0.3333333333333335,0.5,0.25,1.6666666666666674,2.5,1.25,0.666666666666667,0.3333333333333335,0.5
4C,0.03638358246644895,1.32241,0.0,0.5,0.0,0.666666666666667,0.0,1.0,Group 10,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333335,0.0,0.5,0.0,0.0,0.0,0.0,0.666666666666667,0.0
