,Types,Error,Group,Spent time
45,Ad(Ac),0.044429917,Group8,1.6284
46,Ad(Ac),0.0342365,Group8,1.8656000000000001
47,Ad(Ac),0.040274218,Group8,1.7196
48,Ad(Ac),0.025436128,Group8,2.0092
49,Ad(Ac),0.040603478,Group8,1.6955
50,Ad(Ac),0.049552634,Group8,1.1712
51,Ad(Ac),0.044986878,Group8,1.6096000000000001
52,Ad(Ac),0.035461683,Group8,1.8528
53,Ad(Ac),0.035728857,Group8,1.7666000000000002
54,Ad(Ac),0.04090892,Group8,1.7518
55,Ad(Ac),0.04033331,Group8,1.6113000000000002
56,Ad(Ac),0.03407459,Group8,1.8587
57,Ad(Ac),0.03231407,Group8,1.8717000000000001
58,Ad(Ac),0.034398776,Group8,1.8221
59,Ad(Ac),0.03807854,Group8,1.7167000000000001
60,Bi,0.047522444,Group8,1.4391
61,Bi,0.035742603,Group8,1.9663000000000002
62,Bi,0.037515763,Group8,1.7831000000000001
63,Bi,0.034701217,Group8,1.8840000000000001
64,Bi,0.034216788,Group8,1.7666000000000002
65,Bi,0.033805635,Group8,1.8546
66,Bi,0.03176747,Group8,1.9475
67,Bi,0.032779347,Group8,1.8605
68,Bi,0.028488161,Group8,1.9725000000000001
69,Bi,0.03215578,Group8,1.854
70,Bi,0.030801268,Group8,1.9494
71,Bi,0.036207814,Group8,1.8056
72,Bi,0.029231519,Group8,1.9760000000000002
73,Bi,0.031383898,Group8,1.9861000000000002
74,Bi,0.03670401,Group8,1.8219
75,Bi,0.027741294,Group8,2.0152
76,Bi,0.033104245,Group8,1.9648
77,Bi,0.03145686,Group8,1.8889
78,Bi,0.03364691,Group8,1.8408
79,Bi,0.036995437,Group8,1.7798
